id;end_date;is_active;modified_date;start_date;name
1;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";Vegetarian
2;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";Vegan
3;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";Kosher
4;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";Diabetic
5;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";Low Fat
6;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";Low Salt
7;NULL;TRUE;"2014-12-21 00:00:00";"2014-12-21 00:00:00";No Nuts
8;NULL;TRUE;"2015-05-13 00:00:00";"2015-05-13 00:00:00";Gluten Free
9;NULL;TRUE;"2015-05-13 00:00:00";"2015-05-13 00:00:00";Halal
10;NULL;TRUE;"2015-05-13 00:00:00";"2015-05-13 00:00:00";Low Carb
11;NULL;TRUE;"2015-05-13 00:00:00";"2015-05-13 00:00:00";Low Fat Diet
